Table Key,Table Name,L831ED (NC1),L831EE (NC1),L831EF (NC1),L831EG (NC1),LF6JE0 (NC1),LFG1EK (NC1),LFG1ER (NC1),LFG2EE (NC1),LFG2EF (NC1),LFG2EG (NC1),LFG2EJ (NC1),LFG2EL (NC1),LFG2EM (NC1),LFG2EP (NC1),LFG3EE (NC1),LFG3EF (NC1),LFG3EG (NC1),LFG3EK (NC1),LFG3EN (NC1),LFG7ED (NC1),LFG7EG (NC1),LFG8EF (NC1),LFG8EG (NC1),LFG9EH (NC1),LFH9EC (NC1),LFH9ED (NC1),LFH9EE (NC1),LFH9EF (NC1),LFJ1EC (NC1),LFJ1EE (NC1),LFJ1EF (NC1),LFJ5EG (NC1),LFN3ER (NC1),LFN4EK (NC1),LFN4EP (NC1),LFN5EN (NC1),LFZZE0 (NC1),LFZZEA (NC1),LSYAEA (NC1),L843EC (NC2),L862ED (NC2),LF4WEG (NC2),LF4XED (NC2),LF4XEE (NC2),LF4XEG (NC2),LF5AEG (NC2),LF5BEG (NC2),LF5CEG (NC2),LF5DEG (NC2),LF8HED (NC2),LF9HED (NC2),LF9HEE (NC2),LF9JED (NC2),LF9KEC (NC2),LF9KEE (NC2),LF9RED (NC2),LF9SED (NC2),LF9TEE (NC2),LF9VEB (NC2),LF9WEB (NC2),LF9XEB (NC2),LFAAEB (NC2),LFABEB (NC2),LFACEB (NC2),LFAKEB (NC2),LFDJEA (NC2),LFDKEB (NC2),LFDLEC (NC2),LFDMEA (NC2),LFDNEB (NC2),LFDPEC (NC2),LFFCED (NC2),LFFDED (NC2),LFFEEE (NC2),LFGJED (NC2),LFGKEC (NC2),LFGKED (NC2),LFGLEF (NC2),LFGMEC (NC2),LFGMEE (NC2),LFGNEC (NC2),LFGNEE (NC2),LFGPEF (NC2),LFLEEC (NC2),LFLGEC (NC2),LFLMEA (NC2),LFLMEC (NC2),LFLMED (NC2),LFLNEC (NC2),LFLPE0 (NC2),LFLPEA (NC2),LFLPEB (NC2),LFLPEC (NC2),LFLPED (NC2),LFLREA (NC2),LFLVEB (NC2),LFLWEB (NC2),LFLXE0 (NC2),LFLXEC (NC2),LFMAE0 (NC2),LFMAEB (NC2),LFMAEC (NC2),LFMSEA (NC2)
CC Sensitivity - Non Gear,CC Sensitivity - Non Gear,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB8D34,0xB8D34,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB91F0,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB9074,0xB9074,0xB9074,0xB902C,0xB902C,0xB902C,0xB902C,0xB902C,0xB902C,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xB8D34,0xC0D34,0xB8D34,0xC0D34,0xC0D34,0xB8D34,0xC0D34,0xB8D34,0xC0D34,0xC0D34,0xC0DB0,0xB8DB0,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xB90F0,0xB90F0,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xC0D34,0xB8DB0
CC Sensitivity - Non Gear | VSS_DELTA_525C,CC Sensitivity - Non Gear | VSS_DELTA_525C,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB8C98,0xB8C98,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB9154,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8FD8,0xB8FD8,0xB8FD8,0xB8F90,0xB8F90,0xB8F90,0xB8F90,0xB8F90,0xB8F90,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xB8C98,0xC0C98,0xB8C98,0xC0C98,0xC0C98,0xB8C98,0xC0C98,0xB8C98,0xC0C98,0xC0C98,0xC0D14,0xB8D14,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xB9054,0xB9054,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xC0C98,0xB8D14
CC Sensitivity - 1st Gear,CC Sensitivity - 1st Gear,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB8E6C,0xB8E6C,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB9328,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB91AC,0xB91AC,0xB91AC,0xB9164,0xB9164,0xB9164,0xB9164,0xB9164,0xB9164,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xB8E6C,0xC0E6C,0xB8E6C,0xC0E6C,0xC0E6C,0xB8E6C,0xC0E6C,0xB8E6C,0xC0E6C,0xC0E6C,0xC0EE8,0xB8EE8,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xB9228,0xB9228,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xC0E6C,0xB8EE8
CC Sensitivity - 1st Gear | VSS_DELTA_525C,CC Sensitivity - 1st Gear | VSS_DELTA_525C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB8DD0,0xB8DD0,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB928C,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB9110,0xB9110,0xB9110,0xB90C8,0xB90C8,0xB90C8,0xB90C8,0xB90C8,0xB90C8,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xB8DD0,0xC0DD0,0xB8DD0,0xC0DD0,0xC0DD0,0xB8DD0,0xC0DD0,0xB8DD0,0xC0DD0,0xC0DD0,0xC0E4C,0xB8E4C,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xB918C,0xB918C,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xC0DD0,0xB8E4C
CC Sensitivity - 2nd Gear,CC Sensitivity - 2nd Gear,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB8FA4,0xB8FA4,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB9460,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB92E4,0xB92E4,0xB92E4,0xB929C,0xB929C,0xB929C,0xB929C,0xB929C,0xB929C,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xB8FA4,0xC0FA4,0xB8FA4,0xC0FA4,0xC0FA4,0xB8FA4,0xC0FA4,0xB8FA4,0xC0FA4,0xC0FA4,0xC1020,0xB9020,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xB9360,0xB9360,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xC0FA4,0xB9020
CC Sensitivity - 2nd Gear | VSS_DELTA_525C,CC Sensitivity - 2nd Gear | VSS_DELTA_525C,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB8F08,0xB8F08,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB93C4,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB9248,0xB9248,0xB9248,0xB9200,0xB9200,0xB9200,0xB9200,0xB9200,0xB9200,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xB8F08,0xC0F08,0xB8F08,0xC0F08,0xC0F08,0xB8F08,0xC0F08,0xB8F08,0xC0F08,0xC0F08,0xC0F84,0xB8F84,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xB92C4,0xB92C4,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xC0F08,0xB8F84
CC Sensitivity - 3rd Gear,CC Sensitivity - 3rd Gear,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB90DC,0xB90DC,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB9598,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB941C,0xB941C,0xB941C,0xB93D4,0xB93D4,0xB93D4,0xB93D4,0xB93D4,0xB93D4,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xB90DC,0xC10DC,0xB90DC,0xC10DC,0xC10DC,0xB90DC,0xC10DC,0xB90DC,0xC10DC,0xC10DC,0xC1158,0xB9158,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xB9498,0xB9498,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xC10DC,0xB9158
CC Sensitivity - 3rd Gear | VSS_DELTA_525C,CC Sensitivity - 3rd Gear | VSS_DELTA_525C,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB9040,0xB9040,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB94FC,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9380,0xB9380,0xB9380,0xB9338,0xB9338,0xB9338,0xB9338,0xB9338,0xB9338,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xB9040,0xC1040,0xB9040,0xC1040,0xC1040,0xB9040,0xC1040,0xB9040,0xC1040,0xC1040,0xC10BC,0xB90BC,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xB93FC,0xB93FC,0xC1040,0xC1040,0xC1040,0xC1040,0xC1040,0xB90BC
CC Sensitivity - 4th Gear,CC Sensitivity - 4th Gear,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB9214,0xB9214,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB96D0,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9554,0xB9554,0xB9554,0xB950C,0xB950C,0xB950C,0xB950C,0xB950C,0xB950C,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xB9214,0xC1214,0xB9214,0xC1214,0xC1214,0xB9214,0xC1214,0xB9214,0xC1214,0xC1214,0xC1290,0xB9290,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xB95D0,0xB95D0,0xC1214,0xC1214,0xC1214,0xC1214,0xC1214,0xB9290
CC Sensitivity - 4th Gear | VSS_DELTA_525C,CC Sensitivity - 4th Gear | VSS_DELTA_525C,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9178,0xB9178,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9634,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB94B8,0xB94B8,0xB94B8,0xB9470,0xB9470,0xB9470,0xB9470,0xB9470,0xB9470,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xB9178,0xC1178,0xB9178,0xC1178,0xC1178,0xB9178,0xC1178,0xB9178,0xC1178,0xC1178,0xC11F4,0xB91F4,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xB9534,0xB9534,0xC1178,0xC1178,0xC1178,0xC1178,0xC1178,0xB91F4
